author,price,rating,title
Alboukadel Kassambara,38,6,Ultimate Pocoyo Nick Jr. 6-Volume DVD Collection: Pocoyo & Friends / Boo! / Fun & Games / Let's Play / Pocoyo's World / Pocoyo's Circus [Learning & Educational DVD Set]
Chris Fregly,48,25,"Mighty Machines: Learning, Lifting and Towing"
 and ,20,18,Machine Learning Essentials: Practical Guide in R
Antje Barth,0,77,"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines"
A high quality digital reading experience.,44,923,Machine Learning For Absolute Beginners: A Plain English Introduction (Second Edition) (Machine Learning From Scratch Book 1)
Hariom Tatsat,24,36,Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python
", ",42,466,Advances in Financial Machine Learning
Sahil Puri,41,15,Machine Learning: A Bayesian and Optimization Perspective
", et al.",1,31,Programming Machine Learning: From Coding to Deep Learning
Marcos Lopez de Prado,112,1,Machine Learning
Sergios Theodoridis,40,1,"An Introduction to Electronic Warfare from the First Jamming to Machine Learning Techniques (River Publishers Series in Signal, Image and Speech Processing)"
Paolo Perrotta,47,18,"Knowledge Graphs: Fundamentals, Techniques, and Applications (Adaptive Computation and Machine Learning series)"
Chi-Hao Cheng,13,18,Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python
 and ,81,33,"Learning Deep Learning: Theory and Practice of Neural Networks, Computer Vision, Natural Language Processing, and Transformers Using TensorFlow"
James Tsui,0,79,"Python Machine Learning for Beginners: Learning from scratch NumPy, Pandas, Matplotlib, Seaborn, Scikitlearn, and TensorFlow for Machine Learning and ... Learning & Data Science for Beginners)"
Sebastian Raschka,16,49,Machine Learning in Finance: From Theory to Practice
", ",0,91,Python Machine Learning: The Ultimate Beginner's Guide to Learn Python Machine Learning Step by Step using Scikit-Learn and Tensorflow (Computer Programming)
Yuxi (Hayden) Liu,0,7,Real World AI: A Practical Guide for Responsible Machine Learning
", et al.",0,35,Machine Learning for Beginners: Learn and Understand the Basics of Artificial Intelligence. A Beginner's Guide to Properly Understand Machine Learning Essentials with Data Science Principles
Magnus Ekman,33,10,Machine Learning and Security: Protecting Systems with Data and Algorithms
Matthew F. Dixon,84,41,Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master the Basics of Python Programming and Understand How to Build Artificial Intelligence Through Data Science
", ",29,30,"Machine Learning Mathematics: Study Deep Learning Through Data Science: How to Build Artificial Intelligence Through Concepts of Statistics, Algorithms, Analysis and Data Mining"
Igor Halperin,74,789,An Introduction to Statistical Learning: with Applications in R (Springer Texts in Statistics)
", et al.",34,5,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition (Springer Series in Statistics)"
Alyssa Simpson Rochwerger,249,200,Machine Learning in Business: An Introduction to the World of Data Science
 and ,61,43,Data Mining: Concepts and Techniques (The Morgan Kaufmann Series in Data Management Systems)
Wilson Pang,44,180,"Python Machine Learning By Example: Build intelligent systems using Python, TensorFlow 2, PyTorch, and scikit-learn, 3rd Edition"
Clarence Chio,1,1,"Data Analysis, Machine Learning and Applications: Proceedings of the 31st Annual Conference of the Gesellschaft für Klassifikation e.V., ... Data Analysis, and Knowledge Organization)"
 and ,28,244,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control"
