asian_number,rating,review
,5.0 out of 5 stars,"Augmented Reality – Theory, Design & Development by Chetan G  Shetty  :  This book provides not only theoretical aspects of AR, but also math behind AR and sample AR code.  This is the best book, I have seen so far which provides theoretical, mathematical and also covers practical aspects of AR.  Starting from  AR History, this book covers Camera calibration, Computer coordinate system, representation of sequence of transformation using homogeneous matrix representation, Computer Vision, Hardware requirements to setup AR Lab, designing and developing AR applications. Best part of this book is basic concepts required to understand and develop AR applications.  It serves as a ready reckoner for the one who wants to develop AR applications.  It also covers OpenGL, OpenCV & ARprogramming toolkit.  This publication can be recommended as text book for AR.FromPushpa T SAssistant ProfessorDept of Computer ApplicationsBMSCE, Benagaluru-19"
,5.0 out of 5 stars,"This technical book gave me full idea on augmented reality. I was a newbee to this area and had just heard on word.I am really thankful to author Chetan who has articulated book in making it understand for new learners with examples, many use cases, realistic pictures , block diagrams. His efforts are highly commendable in making reader curious about the content as everything is new and reader becomes willing to read as he finds worth to getting the concept. This design can be applied to many technical areas and market take it to automotive, medical , avionics , ecommerce shopping, hotels etc., . Thanks again Chetan and hope to see many more contribution in sharing your knowledgeRegardsVageesh"
,5.0 out of 5 stars,"Chetan is a very enthusiastic learner, an explorer, a blogger, a researcher, an architect, an innovator, a founder and not less than an Entrepreneur. Chetan is also the founder of a research group called MARRG(Mobile Augmented Reality Research Group) for those who would contribute towards open source AR. I know Chetan as an ex-colleague, as a very good friend, as a guide; His energy and enthusiasm always have inspired me in many ways.He started very early in the AR-VR and his contribution to AR-VR world is really commendable, this book stands as an example.The book can be a best reference book for all who are interested in AR-VR for learning, development and experimenting. His explanation is very simple, clear with examples and experimental references make the concept easy to understand and implement. The book covers Augmented Reality, Virtual Reality as well as Mixed Reality concepts very well.Interested in AR-VR? wanna try out..? Grab this book.. :)"
,5.0 out of 5 stars,"Good book,author had contributed extraordinary efforts to explain AR-VR concepts. Therotical and simple example on AR-VR made reader to understand it in very easy way. Book also help the reader who are new to this concepts  with more convincing examples. It enlighten author hard work and passion towards research. Author research will be more helpful in the area of hotel industry,FMCG manufacturing industry, medical, etc where AR is used as new strategy for marketing of products.I congratulate Chetan for his countless contribution in the field of research and hope to see further research in this area."
,5.0 out of 5 stars,Excellent book to understand the concepts and use cases of AR. Author has explained the concepts in such a simplistic manner. Hats of to the author for putting this effort to make us understand in a meaningful way.
,5.0 out of 5 stars,Gentle introduction to AR. Lots of practical examples with clear and well-written explanations. The case studies are beautifully presented with a smooth transition between topics. I highly recommend this book to anyone wanting to understand the AR applications and  their application to real-life scenarios. Thanks for sharing your knowledge and making things so accessible and pleasant to digest.
,5.0 out of 5 stars,"This books explains in detail various components of building an AR system. From Computer vision to Sensor fusion, it details a lot of useful information on how to build an AR device. Very useful if you want to get an understanding on a Systems level of how a device is stitched together."
,5.0 out of 5 stars,This is a great read for anyone who wishes to understand what Augmented Realty is. The book provides a great insight on the know-hows of AR application development with a good combination of theoretical and practical explanations. All the available AR SDKs and tools have been explained in detail which makes it a good read for all the aspiring as well as experienced developers in this field.
,5.0 out of 5 stars,"I would strongly recommend this book for any reader from a novice who wants to understand the basics of AR to an expert level who would be interested in various problems and solutions. The book is well written, facts captured in easily understandable and presented in an impressive manner."
,4.0 out of 5 stars,"This is a good read for all the aspiring developers to understand AR. The pictorial representation of concepts by author makes it even more interesting to read and understand. The Book provides an insights with blend of theory and practical explanations on AR/VR. Overall, Great work by Author."
