rating,review
5,Good battery 🔋 👌 Sound awesome 👌 Bass 🔊  super Overall good 👍  product in one plus
5,"This is my first OnePlus product and now I'm in love with these. Superb sound quality and build is great. And yeah, I'm enjoying music alot."
5,"I've been using this product for the last 3 days. This might be too early to write an elaborate review but I've known enough about this neckband to be ""eligible"".1. Sound Quality: The drivers definitely produce a very balanced sound that is surely going to satisfy most of the people including me. Whether it's about mid frequencies, vocals or the high frequency trebles, or even the lower frequencies, this neckband deals all of those with superior performance. Undoubtedly.2. Bass: Bass is..."
5,Awesome product..... With a super deep bass and excellent charging capacity... I loved it♥♥
5,Very nice product with amazing battery back up and deep bass.. Awsome sound clarity.it is very flexible  Length of wire is little low.
5,"Some ones are still telling there is no Bass. Actually this wireless headset bass is awesome. Getting a well balanced sound with bass boosted ♥️Battery backup is beast. Nothing to say🔥About microphone, this is good but no noise cancellation. Catches all the sound.😒Design wise it's ultra beast. More flexible.🙂One thing is don't lost the tag in the neckband. Keep it safely for warranty claim✅*writing this thing using 3 days. i will keep updating about my using experience"
5,🎶🎶Used since 8 days Bass is good ✌Sound quality is simply amazing👌Battery backup is awesome 🤟🤟10 hour backup in in 10 min charge Comfortable wearing Also fitting in neck Overall nice product 👍
5,"Amazing product...Super quick connectivity, so far i didn't have any connection drop...The band is super soft and you can keep it in your pocket very easly...Sound quality is amazingAnd yesss bass is also great for norml humans..I listen music at 70% volume and even than bass is ama, ing vocals are clearAnd at 100% you can even sit in auto and can listen to your favourite music...Go for it without second thought"
5,"Excellent quality.. Packing is awesome.. Neckband quality is impressive its very Soft rubber, light weight.. Sound quality is very nice.. And bass is impressive.. Backup is approx 14 to 15 hours easily  in medium volume.. Very fast Bluetooth connectivity and switching.. Type c charging cable.. I think it is best in this Price range."
5,This review i was posted after 1 week using this 1+ bass editions neckband. It's sound quality is awesome bass effect also awesome then call audio quality also super when i receive this project it was 100% changed i was used more then 4 days in this neckband using audio and video player per day i am used 3 hrs approximately after 4 days i got 40% of remaining charger. i changed this neckband with in 10 minutes its fully charged. its worth for money.
5,"I am happy with the product I received. Packed tightly and got genuine product.This is after 10days review.I charged for 3time only- battery backup really niceNo irritation at all while placingThere is no noise cancellation i think but voice will be clear for receiving personSounds are really amazing I will re edit again after 20daysDesign, build quality is nice and I don't feel wires will sustain for long periods use.No irritation even after placing it for 10hrs.Nice one... Good ..."
